City,State,Latitude,Longitude,Timezone
#Honolulu,HI,21.306944,-157.858337,HST
Wichita,KS,37.686880,-97.336097,CDT
Tampa,FL,27.950575,-82.457178,EST
Santa Ana,CA,33.745851,-117.867830,PDT
Corpus Christi,TX,27.800583,-97.396378,CDT
Riverside,CA,33.953349,-117.396156,PDT
St. Louis,MO,38.626515,-90.193180,CDT
Lexington,KY,38.040584,-84.503716,EDT
Pittsburgh,PA,40.441723,-79.990121,EDT
Stockton,CA,37.957702,-121.290780,PDT
Anchorage,AK,61.218056,-149.900278,AKST
Cincinnati,OH,39.103119,-84.512016,EDT
St. Paul,MN,44.953705,-93.089958,CDT
Toledo,OH,41.652805,-83.537867,EDT
Greensboro,NC,36.072640,-79.791975,EST
Newark,NJ,40.735657,-74.172367,EST
Plano,TX,33.019843,-96.698886,CDT
Henderson,NV,36.039525,-114.981721,PDT
Lincoln,NE,40.813616,-96.702596,CDT
Buffalo,NY,42.886448,-78.878372,EST
Jersey City,NJ,40.717775,-74.043390,EST
Chula Vista,CA,32.640053,-117.084196,PDT
Fort Wayne,IN,41.079273,-85.139351,EDT
Orlando,FL,28.538336,-81.379234,EST
St. Petersburg,FL,27.767601,-82.640860,EST
Chandler,AZ,33.306160,-111.841250,MST
Laredo,TX,27.530567,-99.480324,CDT
Norfolk,VA,36.850769,-76.285873,EST
Durham,NC,35.994033,-78.898619,EST
Madison,WI,43.073052,-89.401230,CDT
Lubbock,TX,33.577863,-101.855166,CDT
Irvine,CA,33.684566,-117.826508,PDT
Winston-Salem,NC,36.099861,-80.244217,EST
Glendale,CA,34.142507,-118.255075,PDT
Reno,NV,39.529633,-119.813803,PDT
Hialeah,FL,25.857596,-80.278105,EST
Garland,TX,32.912624,-96.638883,CDT
Chesapeake,VA,36.768208,-76.287492,EST
Irving,TX,32.814018,-96.948894,CDT
North Las Vegas,NV,36.198859,-115.117501,PDT
Scottsdale,AZ,33.494170,-111.926051,MST
Baton Rouge,LA,30.451468,-91.187147,CDT
Fremont,CA,37.548271,-121.988571,PDT
Richmond,VA,37.540725,-77.436048,EST
Boise,ID,43.615019,-116.202314,MDT
San Bernardino,CA,34.108345,-117.289765,PDT
Birmingham,AL,33.520661,-86.802490,CDT
Spokane,WA,47.659722,-117.425000,PDT
Modesto,CA,37.639097,-120.996878,PDT
Des Moines,IA,41.591087,-93.603729,CDT
Oxnard,CA,34.197504,-119.177051,PDT
Tacoma,WA,47.252877,-122.444291,PDT
Fontana,CA,34.092233,-117.435048,PDT
Fayetteville,NC,35.052665,-78.878358,EST
Moreno Valley,CA,33.942467,-117.229672,PDT
Glendale,AZ,33.538652,-112.185987,MST
Yonkers,NY,40.931210,-73.898746,EST
Huntington Beach,CA,33.660297,-117.999226,PDT
Aurora,IL,41.760585,-88.320072,CDT
Salt Lake City,UT,40.760779,-111.891047,MDT
Akron,OH,41.081444,-81.519005,EDT
Little Rock,AR,34.746483,-92.289597,CDT
Augusta,GA,33.473497,-82.010514,EST
Amarillo,TX,35.222001,-101.831298,CDT
Mobile,AL,30.695365,-88.039891,CDT
Grand Rapids,MI,42.963360,-85.668086,EDT
Salt Lake City,UT,40.760779,-111.891047,MDT
Tallahassee,FL,30.438255,-84.280732,EST
Tempe,AZ,33.425506,-111.940005,MST
# Add more entries with city, state, latitude, longitude, and other parameters as needed
